id,descripcion,dominio,region,hub,nodo,trigger,b,r2,r_pearson,p,se_b,ci_lo,ci_hi,dw,n,year_min,year_max,significativo,rho_ar1,n_eff,se_infl,estimable,p_ar1,sig_ar1,sig_ar1_solo_gl,corregible
B283,India→Nepal 1913-2018,B,Asia_Sur,India,Nepal,gradual,0.1811,0.5668,0.7528,0.0,0.0192,0.1435,0.2188,0.086,70,1913,2018,True,0.957,1.54,6.746,False,,False,False,True
B284,India→Afghanistan 1950-2018,B,Asia_Sur,India,Afghanistan,gradual,0.5213,0.6094,0.7806,0.0,0.051,0.4214,0.6212,0.112,69,1950,2018,True,0.944,1.99,5.892,False,,False,False,True
B285,Pakistan→Bangladesh 1950-2018,B,Asia_Sur,Pakistan,Bangladesh,gradual,0.1991,0.4421,0.6649,0.0,0.0273,0.1456,0.2527,0.057,69,1950,2018,True,0.9715,1.0,8.317,False,,False,False,True
B286,Sri Lanka→Pakistan 1950-2018,B,Asia_Sur,Sri Lanka,Pakistan,gradual,-0.0387,0.0857,-0.2928,0.0146,0.0154,-0.0689,-0.0084,0.103,69,1950,2018,True,0.9485,1.82,6.151,False,,False,False,True
B287,Pakistan→Nepal 1950-2018,B,Asia_Sur,Pakistan,Nepal,gradual,0.228,0.7394,0.8599,0.0,0.0165,0.1955,0.2604,0.146,69,1950,2018,True,0.927,2.61,5.138,False,,False,False,True
B288,Pakistan→Afghanistan 1950-2018,B,Asia_Sur,Pakistan,Afghanistan,gradual,0.5659,0.6196,0.7872,0.0,0.0542,0.4597,0.6721,0.107,69,1950,2018,True,0.9465,1.9,6.032,False,,False,False,True
B289,Sri Lanka→Bangladesh 1950-2018,B,Asia_Sur,Sri Lanka,Bangladesh,gradual,0.1604,0.5109,0.7147,0.0,0.0192,0.1229,0.198,0.108,69,1950,2018,True,0.946,1.91,6.003,False,,False,False,True
B290,Bangladesh→Nepal 1950-2018,B,Asia_Sur,Bangladesh,Nepal,gradual,0.0288,0.02,0.1415,0.2463,0.0247,-0.0195,0.0772,0.051,69,1950,2018,False,0.9745,0.89,8.8,False,,False,False,True
B291,Bangladesh→Afghanistan 1950-2018,B,Asia_Sur,Bangladesh,Afghanistan,gradual,0.3668,0.4562,0.6754,0.0,0.0489,0.2709,0.4627,0.109,69,1950,2018,True,0.9455,1.93,5.975,False,,False,False,True
B292,Sri Lanka→Nepal 1913-2018,B,Asia_Sur,Sri Lanka,Nepal,gradual,0.1898,0.5099,0.7141,0.0,0.0226,0.1455,0.234,0.06,70,1913,2018,True,0.97,1.07,8.103,False,,False,False,True
B293,Sri Lanka→Afghanistan 1950-2018,B,Asia_Sur,Sri Lanka,Afghanistan,gradual,0.5272,0.5609,0.7489,0.0,0.057,0.4155,0.6389,0.095,69,1950,2018,True,0.9525,1.68,6.411,False,,False,False,True
B294,Nepal→Afghanistan 1950-2018,B,Asia_Sur,Nepal,Afghanistan,gradual,0.3379,0.4479,0.6693,0.0,0.0458,0.2481,0.4278,0.13,69,1950,2018,True,0.935,2.32,5.456,False,,False,False,True
B295,Israel→Turkey 1950-2018,B,Medio_Oriente,Israel,Turkey,gradual,-0.0515,0.0573,-0.2394,0.0476,0.0255,-0.1015,-0.0015,0.088,69,1950,2018,True,0.956,1.55,6.667,False,,False,False,True
B296,Israel→Iran 1950-2018,B,Medio_Oriente,Israel,Iran,gradual,0.0483,0.0323,0.1797,0.1394,0.0323,-0.015,0.1117,0.097,69,1950,2018,False,0.9515,1.71,6.343,False,,False,False,True
B297,Israel→Iraq 1950-2018,B,Medio_Oriente,Israel,Iraq,gradual,0.3498,0.2768,0.5261,0.0,0.0691,0.2144,0.4852,0.115,69,1950,2018,True,0.9425,2.04,5.812,False,,False,False,True
B298,Saudi Arabia→Israel 1950-2018,B,Medio_Oriente,Saudi Arabia,Israel,gradual,0.1447,0.2404,0.4903,0.0,0.0314,0.0831,0.2062,0.079,69,1950,2018,True,0.9605,1.39,7.045,False,,False,False,True
