id,descripcion,dominio,b,r2,p,n,significativo,fuente_real
B118,Argentina→Uruguay 1900-2018,B,-0.0528,0.136,0.0,119,True,True
B119,Argentina→Paraguay 1939-2018,B,-0.0598,0.0635,0.0241,80,True,True
B120,Argentina→Bolivia 1900-2018,B,0.0173,0.0179,0.147,119,False,True
B121,Argentina→Peru 1900-2018,B,-0.2167,0.7091,0.0,119,True,True
B122,Argentina→Colombia 1900-2018,B,-0.3442,0.8247,0.0,119,True,True
B123,Argentina→Venezuela 1900-2018,B,-0.4555,0.6239,0.0,119,True,True
B124,Argentina→Ecuador 1900-2018,B,-0.2721,0.7459,0.0,119,True,True
B125,Uruguay→Chile 1900-2018,B,-0.0282,0.0324,0.05,119,False,True
B126,Chile→Paraguay 1939-2018,B,0.0475,0.0469,0.0537,80,False,True
B127,Chile→Bolivia 1900-2018,B,0.0983,0.1478,0.0,119,True,True
B128,Chile→Peru 1900-2018,B,-0.1357,0.2147,0.0,119,True,True
B129,Chile→Colombia 1900-2018,B,-0.2632,0.6751,0.0,119,True,True
B130,Venezuela→Chile 1900-2018,B,0.3746,0.4183,0.0,119,True,True
B131,Chile→Ecuador 1900-2018,B,-0.1912,0.4935,0.0,119,True,True
B132,Uruguay→Paraguay 1939-2018,B,-0.0145,0.0048,0.5394,80,False,True
B133,Uruguay→Bolivia 1900-2018,B,0.0702,0.1326,0.0,119,True,True
B134,Uruguay→Peru 1900-2018,B,-0.1639,0.4275,0.0,119,True,True
B135,Uruguay→Colombia 1900-2018,B,-0.2914,0.8091,0.0,119,True,True
B136,Uruguay→Venezuela 1900-2018,B,-0.4027,0.5483,0.0,119,True,True
B137,Uruguay→Ecuador 1900-2018,B,-0.2193,0.678,0.0,119,True,True
B138,Paraguay→Bolivia 1939-2018,B,0.1585,0.3765,0.0,80,True,True
B139,Paraguay→Peru 1939-2018,B,0.0248,0.0074,0.4488,80,False,True
B140,Paraguay→Colombia 1939-2018,B,-0.0899,0.4023,0.0,80,True,True
B141,Venezuela→Paraguay 1939-2018,B,0.0163,0.0015,0.7318,80,False,True
B142,Paraguay→Ecuador 1939-2018,B,-0.1335,0.4024,0.0,80,True,True
B143,Bolivia→Peru 1900-2018,B,-0.2341,0.7047,0.0,119,True,True
B144,Colombia→Bolivia 1900-2018,B,0.3616,0.7822,0.0,119,True,True
B145,Venezuela→Bolivia 1900-2018,B,0.4729,0.5968,0.0,119,True,True
B146,Ecuador→Bolivia 1900-2018,B,0.2895,0.623,0.0,119,True,True
B147,Colombia→Peru 1900-2018,B,0.1275,0.2968,0.0,119,True,True
B148,Venezuela→Peru 1900-2018,B,0.2388,0.3537,0.0,119,True,True
B149,Ecuador→Peru 1900-2018,B,0.0554,0.0684,0.0041,119,True,True
B150,Venezuela→Colombia 1900-2018,B,0.1113,0.0904,0.0009,119,True,True
B151,Ecuador→Colombia 1900-2018,B,-0.0721,0.2672,0.0,119,True,True
B152,Venezuela→Ecuador 1900-2018,B,0.1834,0.2382,0.0,119,True,True
B153,Japan→China 1900-2018,B,0.2344,0.1839,0.0001,82,True,True
B154,Japan→South Korea 1911-2018,B,-0.0593,0.0148,0.2134,106,False,True
B155,Japan→Taiwan 1901-2018,B,-0.0796,0.038,0.0423,109,True,True
B156,Japan→Mongolia 1950-2018,B,0.0575,0.0103,0.4077,69,False,True
B157,South Korea→China 1911-2018,B,0.3968,0.575,0.0,81,True,True
B158,Taiwan→China 1911-2018,B,0.3717,0.6461,0.0,81,True,True
B159,Mongolia→China 1950-2018,B,-0.0047,0.0005,0.8493,69,False,True
B160,Taiwan→South Korea 1911-2018,B,0.0238,0.0462,0.0327,99,True,True
B161,South Korea→Mongolia 1950-2018,B,0.4545,0.538,0.0,69,True,True
B162,Taiwan→Mongolia 1950-2018,B,0.3709,0.4853,0.0,69,True,True
B163,Singapore→Malaysia 1900-2018,B,0.104,0.0629,0.0085,109,True,True
B164,Singapore→Thailand 1913-2018,B,0.2535,0.6427,0.0,72,True,True
B165,Singapore→Indonesia 1900-2018,B,0.4364,0.5307,0.0,109,True,True
