id,descripcion,dominio,b,r2,p,n,fuente,significativo
E3_111,Kenya COVID-19 growth phase 2020,E3,0.7876,0.7929,0.0,60,OWID COVID-19 (JHU),True
E3_112,Kiribati COVID-19 growth phase 2020,E3,0.6765,0.807,0.0,60,OWID COVID-19 (JHU),True
E3_113,Kosovo COVID-19 growth phase 2020,E3,0.6991,0.9127,0.0,60,OWID COVID-19 (JHU),True
E3_114,Kuwait COVID-19 growth phase 2020,E3,1.3755,0.7799,0.0,60,OWID COVID-19 (JHU),True
E3_115,Kyrgyzstan COVID-19 growth phase 2020,E3,0.7538,0.9273,0.0,60,OWID COVID-19 (JHU),True
E3_116,Laos COVID-19 growth phase 2020,E3,0.6085,0.893,0.0,60,OWID COVID-19 (JHU),True
E3_117,Latvia COVID-19 growth phase 2020,E3,0.649,0.9197,0.0,60,OWID COVID-19 (JHU),True
E3_118,Lebanon COVID-19 growth phase 2020,E3,0.4227,0.9244,0.0,60,OWID COVID-19 (JHU),True
E3_119,Lesotho COVID-19 growth phase 2020,E3,0.6161,0.9188,0.0,60,OWID COVID-19 (JHU),True
E3_120,Liberia COVID-19 growth phase 2020,E3,0.4311,0.7902,0.0,60,OWID COVID-19 (JHU),True
E3_121,Libya COVID-19 growth phase 2020,E3,0.9284,0.8775,0.0,60,OWID COVID-19 (JHU),True
E3_122,Liechtenstein COVID-19 growth phase 2020,E3,0.1431,0.4062,0.0,60,OWID COVID-19 (JHU),True
E3_123,Lithuania COVID-19 growth phase 2020,E3,0.5837,0.915,0.0,60,OWID COVID-19 (JHU),True
E3_124,Low-income countries COVID-19 growth phase 2020,E3,1.4308,0.9031,0.0,60,OWID COVID-19 (JHU),True
E3_125,Lower-middle-income countries COVID-19 growth phase 2020,E3,1.8158,0.9279,0.0,60,OWID COVID-19 (JHU),True
E3_126,Luxembourg COVID-19 growth phase 2020,E3,0.4424,0.8459,0.0,60,OWID COVID-19 (JHU),True
E3_127,Madagascar COVID-19 growth phase 2020,E3,0.6457,0.5712,0.0,60,OWID COVID-19 (JHU),True
E3_128,Malawi COVID-19 growth phase 2020,E3,0.8265,0.7936,0.0,60,OWID COVID-19 (JHU),True
E3_129,Malaysia COVID-19 growth phase 2020,E3,1.1041,0.9164,0.0,60,OWID COVID-19 (JHU),True
E3_130,Maldives COVID-19 growth phase 2020,E3,0.8148,0.931,0.0,60,OWID COVID-19 (JHU),True
E3_131,Mali COVID-19 growth phase 2020,E3,0.8665,0.9134,0.0,60,OWID COVID-19 (JHU),True
E3_132,Malta COVID-19 growth phase 2020,E3,0.573,0.8884,0.0,60,OWID COVID-19 (JHU),True
E3_133,Marshall Islands COVID-19 growth phase 2020,E3,0.8703,0.7054,0.0,60,OWID COVID-19 (JHU),True
